일자,범위
1,요한복음 1:1-18
2,요 1:19-34
3,요 1:35-51
4,요 2:1-12
5,요 2:13-25
6,요 3:1-15
7,요 3:16-21
8,요 3:22-36
9,요 4:1-14
10,요 4:15-26
11,요 4:27-42
12,요 4:43-54
13,요 5:1-15
14,요 5:16-30
15,요 5:31-47
16,요 6:1-15
17,요 6:16-29
18,요 6:30-40
19,요 6:41-59
20,요 6:60-71
21,요 7:1-13
22,요 7:14-24
23,요 7:25-36
24,요 7:37-52
25,요 7:53-8:20
26,요 8:21-30
27,요 8:31-41
28,요 8:42-59
