일자,범위
1,고린도전서 1:1-9
2,고전 1:10-17
3,고전 1:18-31
4,고전 2:1-16
5,고전 3:1-15
6,고전 3:16-4:5
7,고전 4:6-21
8,고전 5:1-13
9,고전 6:1-11
10,고전 6:12-20
11,고전 7:1-24
12,고전 7:25-40
13,고전 8:1-13
14,고전 9:1-23
15,고전 9:24-10:13
16,고전 10:14-11:1
17,고전 11:2-16
18,고전 11:17-34
19,고전 12:1-11
20,고전 12:12-31
21,고전 13:1-13
22,고전 14:1-19
23,고전 14:20-40
24,고전 15:1-11
25,고전 15:12-19
26,고전 15:20-34
27,고전 15:35-49
28,고전 15:50-58
29,고전 16:1-12
30,고전 16:13-24
