일자,범위
1,시편 1:1-6
2,시 2:1-12
3,시 3:1-8
4,시 4:1-8
5,시 5:1-12
6,시 6:1-10
7,시 7:1-17
8,시 8:1-9
9,시 9:1-20
10,시 10:1-18
11,시 11:1-7
12,시 12:1-8
13,시 13:1-6
14,시 14:1-7
15,시 15:1-5
16,이사야 1:1-20
17,사 1:21-31
18,사 2:1-22
19,사 3:1-12
20,사 3:13-4:6
21,사 5:1-17
22,사 5:18-30
23,사 6:1-13
24,사 7:1-25
25,사 8:1-22
26,사 9:1-7
27,사 9:8-10:4
28,사 10:5-19
29,사 10:20-34
30,사 11:1-16
31,사 12:1-6
