일자,범위
1,사 43:1-13
2,사 43:14-28
3,사 44:1-20
4,사 44:21-45:7
5,사 45:8-17
6,사 45:18-25
7,사 46:1-13
8,사 47:1-15
9,사 48:1-11
10,사 48:12-22
11,사 49:1-13
12,사 49:14-50:3
13,사 50:4-51:8
14,사 51:9-16
15,사 51:17-52:12
16,사 52:13-53:12
17,사 54:1-17
18,사 55:1-13
19,사 56:1-8
20,사 56:9-57:13
21,사 57:14-21
22,사 58:1-14
23,사 59:1-21
24,사 60:1-22
25,사 61:1-11
26,사 62:1-12
27,사 63:1-14
28,사 63:15-64:12
29,사 65:1-16
30,사 65:17-25
31,사 66:1-24
