일자,범위
1,고린도후서 1:1-11
2,고후 1:12-22
3,고후 1:23-2:17
4,고후 3:1-18
5,고후 4:1-18
6,고후 5:1-10
7,고후 5:11-21
8,고후 6:1-7:1
9,고후 7:2-16
10,고후 8:1-15
11,고후 8:16-24
12,고후 9:1-15
13,고후 10:1-18
14,고후 11:1-15
15,고후 11:16-33
16,고후 12:1-13
17,고후 12:14-21
18,고후 13:1-13
19,시편 20:1-9
20,시 21:1-13
21,시 22:1-21
22,시 22:22-31
23,시 23:1-6
24,시 24:1-10
25,시 25:1-22
26,이사야 40:1-11
27,사 40:12-31
28,사 41:1-20
29,사 41:21-29
30,사 42:1-25
