일자,범위
1,창세기 1:1-13
2,창 1:14-25
3,창 1:26-2:3
4,창 2:4-25
5,창 3:1-13
6,창 3:14-24
7,창 4:1-26
8,창 5:1-32
9,창 6:1-22
10,창 7:1-24
11,창 8:1-22
12,창 9:1-17
13,창 9:18-29
14,창 10:1-32
15,창 11:1-9
16,창 11:10-30
17,창 11:31-12:9
18,창 12:10-20
19,창 13:1-18
20,창 14:1-24
21,창 15:1-21
22,창 16:1-16
23,창 17:1-27
24,창 18:1-15
25,창 18:16-33
26,창 19:1-11
27,창 19:12-23
28,창 19:24-38
29,창 20:1-18
30,창 21:1-21
31,창 21:22-34
