일자,범위
1,요 18:39-19:16
2,요 19:17-27
3,요 19:28-30
4,요 19:31-42
5,요 20:1-18
6,요 20:19-31
7,요 21:1-14
8,요 21:15-25
9,창세기 22:1-24
10,창 23:1-20
11,창 24:1-27
12,창 24:28-49
13,창 24:50-67
14,창 25:1-18
15,창 25:19-34
16,창 26:1-11
17,창 26:12-33
18,창 26:34-27:14
19,창 27:15-29
20,창 27:30-46
21,창 28:1-22
22,창 29:1-20
23,창 29:21-35
24,창 30:1-24
25,창 30:25-43
26,창 31:1-16
27,창 31:17-35
28,창 31:36-55
29,창 32:1-21
30,창 32:22-32
