일자,범위
1,창세기 33:1-20
2,창 34:1-17
3,창 34:18-31
4,창 35:1-22
5,창 35:23-36:8
6,창 36:9-43
7,창 37:1-17
8,창 37:18-36
9,창 38:1-30
10,창 39:1-23
11,창 40:1-23
12,창 41:1-24
13,창 41:25-36
14,창 41:37-57
15,창 42:1-17
16,창 42:18-38
17,창 43:1-15
18,창 43:16-34
19,창 44:1-17
20,창 44:18-34
21,창 45:1-15
22,창 45:16-28
23,창 46:1-27
24,창 46:28-47:12
25,창 47:13-26
26,창 47:27-48:7
27,창 48:8-22
28,창 49:1-15
29,창 49:16-28
30,창 49:29-50:14
31,창 50:15-26
