일자,범위
1,요한복음 9:1-12
2,요 9:13-23
3,요 9:24-41
4,요 10:1-21
5,요 10:22-42
6,요 11:1-16
7,요 11:17-27
8,요 11:28-37
9,요 11:38-46
10,요 11:47-57
11,요 12:1-11
12,요 12:12-19
13,요 12:20-33
14,요 12:34-43
15,요 12:44-50
16,요 13:1-17
17,요 13:18-30
18,요 13:31-38
19,요 14:1-14
20,요 14:15-21
21,요 14:22-31
22,요 15:1-17
23,요 15:18-27
24,요 16:1-15
25,요 16:16-24
26,요 16:25-33
27,요 17:1-16
28,요 17:17-26
29,요 18:1-11
30,요 18:12-27
31,요 18:28-38
